Description	amt	prc
Керівництво та управління у сфері статистики	949995.9	0.766065642
Статистичні спостереження та переписи	8683.1	0.00136394
Щоквартальна плата домогосподарствам за ведення записів доходів, витрат та інших відомостей під час проведення обстеження умов їх життя	5498.3	0.16889379
Прикладні розробки, підготовка наукових кадрів у сфері державної статистики	1470.9	0.337181818
Керівництво та управління у сфері експортного контролю	14990.7	1.068515589
Мобілізаційна підготовка галузей національної економіки України	37906.5	0.407717687
Керівництво та управління у сфері державної політики щодо зовнішніх відносин	206426.6	0.866802189
Внески України до бюджетів ООН, органів і спеціалізованих установ системи ООН, інших міжнародних організацій та конвенційних органів	611637.8	0.024080918
Функціонування закордонних дипломатичних установ України та розширення мережі власності України для потреб цих установ	3038119.5	0.479660788
Реалізація Міністерством закордонних справ України повноважень з проведення зовнішньої політики України, організація і контроль за діяльністю закордонних дипломатичних установ України	30000	1.195448484
Забезпечення головування України у міжнародних інституціях	9217.5	3.978863475
Професійне навчання працівників органів державної влади у сфері зовнішніх зносин, проведення прикладних досліджень у галузі міжнародних відносин	15876.4	0.336801275
Фінансова підтримка забезпечення міжнародного позитивного іміджу України, заходи щодо підтримки зв'язків з українцями, які проживають за межами України	77000	11.55281869
Документування громадян та створення і забезпечення функціонування інформаційно-телекомунікаційних систем консульської служби	55959.9	0.463741564
Керівництво та управління з питань тимчасово окупованих територій та внутрішньо переміщених осіб	25249.4	1.406218993
Керівництво та управління у сфері телебачення і радіомовлення	24715.9	0.561807037
Прикладні розробки у сфері засобів масової інформації, книговидавничої справи та інформаційно-бібліографічної діяльності, фінансова підтримка розвитку наукової інфраструктури	11969.5	0.136676272
Підвищення кваліфікації працівників засобів масової інформації в Укртелерадіопресінституті	6095.4	0.459913927
Фінансова підтримка творчих спілок у сфері засобів масової інформації, преси	1452.9	1.418131422
Фінансова підтримка Національної суспільної телерадіокомпанії України	970797.8	0.183263993
Державні стипендії видатним діячам інформаційної галузі, дітям журналістів, які загинули або стали інвалідами у зв'язку з виконанням службових обов'язків  та премії в інформаційній галузі	2786.8	0.649388863
Забезпечення підготовки та проведення  пісенного конкурсу "Євробачення - 2017"	455700	0.058241605
Загальне керівництво та управління у сфері культури	51271.5	0.695873752
Прикладні розробки у сфері розвитку культури	1000	-0.868840425
Надання загальної та спеціальної освіти мистецькими (художніми, музичними, хореографічними) загальноосвітніми школами (школами-інтернатами) та позашкільними навчальними закладами, методичне забезпечення діяльності навчальних закладів	129497.1	0.488572047
Підготовка кадрів для сфери культури і мистецтва вищими навчальними закладами І і ІІ рівнів акредитації	26166.4	0.327370473
Підготовка кадрів для сфери культури і мистецтва вищими навчальними закладами ІІІ і ІV рівнів акредитації	852189.4	0.334024667
Підвищення кваліфікації, перепідготовка кадрів та підготовка науково-педагогічних кадрів у сфері культури і мистецтва, підготовка кадрів акторської майстерності для національних мистецьких та творчих колективів	53700.1	0.522688841
Фінансова підтримка національних творчих спілок у сфері культури і мистецтва та заходи Всеукраїнського товариства "Просвіта"	6185.3	0.000259028
Фінансова підтримка національних театрів	898947	0.641013391
Фінансова підтримка національних художніх колективів, концертних організацій та їх дирекції, національних і державних циркових організацій	537387.9	0.630626261
